index,smiles,AlogP,Effective
156,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2cc(F)ccc2O3)nn1,2.93,1
157,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nc(Cc5cccnc5)n[nH]4)nn3)CC1)O2,4.63,0
158,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2ccccc2O3)nn1,2.8,1
159,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2cccc(F)c2O3)nn1,2.93,1
160,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1,3.72,0
161,COc1ccc2nc(NC(=O)c3ccc([C@@H](N)c4ccccc4)cc3)sc2c1,4.61,0
162,O=C(Nc1nccs1)c1ccc(C(=O)c2ccccc2)cc1,3.63,0
163,COc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,4.79,0
164,COc1ccc2nc(NC(=O)c3ccc(C(=O)N4CCN(C)CC4)cc3)sc2c1,2.94,1
165,Cc1cccc(C(=O)Nc2nc3ccccc3s2)c1,3.86,0
166,C#CCOc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,4.79,0
167,NC(=O)c1cnc(N2CCN(S(=O)(=O)c3ccccc3C(F)(F)F)CC2)s1,1.77,1
168,NC(=O)c1cnc(N2CCN(Cc3ccccc3C(F)(F)F)CC2)s1,2.58,1
169,NC(=O)c1nc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)no1,2.24,1
170,Cc1nnc(-c2cnc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)s2)s1,5.04,0
171,FC(F)(F)c1ccccc1OC1CCN(c2ncc(-c3ncon3)s2)CC1,4.26,0
172,COCCOc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,4.4,0
173,CN(C)c1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,4.44,0
174,CC(=O)Nc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,4.33,0
175,CS(=O)(=O)Nc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,3.75,0
176,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
177,COc1ccc2nc(NC(=O)c3ccc(Nc4ccccc4)cc3)sc2c1,5.3,0
178,COc1ccc2nc(NC(=O)c3ccc(C(=O)NCc4ccccc4)cc3)sc2c1,4.49,0
179,COc1ccc2nc(NC(=O)c3ccc(C(O)c4ccccn4)cc3)sc2c1,4.03,0
180,COc1ccc(C(=O)Nc2nc3ccc(OC)cc3s2)cc1,3.57,0
181,O=C(Nc1nc(-c2ccccc2)cs1)c1ccc(C(=O)c2ccccc2)cc1,5.29,0
182,C#CCNC(=O)c1ccc(C(=O)Nc2nc3ccc(OC)cc3s2)cc1,2.92,1
183,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CCNc4ccccc4O3)CC2)nn1,3.17,0
184,O=C(Nc1nc(CCCO)c(CCO)s1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,4.49,0
185,O=C(Nc1nc(CO)cs1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,4.52,0
186,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C)nc2)n1,4.02,0
187,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C)cn2)n1,4.02,0
188,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C)cc2)n1,4.62,0
189,O=C(Nc1ccncc1)c1ccc(COc2ccccc2Cl)cc1,4.57,0
190,O=C(O)Cn1nnc(-c2cc(OCCOCc3cc(F)ccc3Br)no2)n1,1.91,1
191,O=C(O)Cn1nnc(-c2cnc(OCCCOc3cc(F)ccc3Br)s2)n1,2.63,1
192,COc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCCO,4.77,0
193,COc1ccc(C(=O)Nc2ncc(Cc3cc(F)cc(F)c3)s2)cc1OCCO,3.64,0
194,COc1ccc(C(=O)Nc2ncc(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)s2)cc1OCCO,5.4,0
195,Cc1ccc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)s1,5.45,0
196,Cn1cc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,3.81,0
197,O=C(NCCC1CC1)c1ccc(N2CCN(C(=O)c3ccoc3C(F)(F)F)CC2)nn1,2.58,1
198,CC1CCCCC1C(=O)N1CCN(c2ccc(C(=O)NCCC3CC3)nn2)CC1,2.48,1
199,O=C(NCCCc1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,3.82,0
200,O=C(Nc1ccc(Cl)cc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,4.36,0
201,O=C(NCCCC1CC1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,3.38,0
202,CC(C)CCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)cn1,3.84,0
203,O=C(NCCC1CC1)c1ccc(N2CCN(C(=O)c3cc(Cl)ccc3C(F)(F)F)CC2)nn1,3.64,0
204,Cc1ccc(CNC(=O)c2ccc(N3CCN(C(=O)c4ccccc4C(F)(F)F)CC3)nn2)o1,3.29,0
205,O=C(NCc1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,3.39,0
