index,smiles,pChEMBL Value,Effective
196,CC(=O)NCCn1c(=O)c(-c2cccnc2)nc2ccc(NCc3ccc(F)c(Cl)c3)nc21,7.89,1
197,COc1ccc(C(=O)Nc2ncc(Cc3cc(Cl)cc(Cl)c3)s2)cc1OCCO,7.89,1
198,O=C(O)Cn1nnc(-c2cnc(N3CCC4(CCc5c(Cl)cccc5O4)CC3)s2)n1,7.89,1
199,C#CCOc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,7.89,1
200,CC(=O)NCCn1c(=O)c(-c2cccnc2)nc2ccc(NCc3cccc(C(F)(F)F)c3)cc21,7.89,1
201,O=C(O)Cc1csc(NC(=O)c2ccc(CNc3ccccc3Cl)cc2)n1,7.89,1
202,NC(=O)c1cc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)no1,7.85,1
203,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,7.85,1
204,Fc1ccc2c(c1)N(C1CCN(c3ccc(-c4ccc(C(F)(F)F)nc4)nn3)CC1)CC2,7.85,1
205,Cc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)cc1,7.85,1
206,OCc1nnc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)o1,7.85,1
207,Cc1nsc(-c2ccc(N3CCC(N4CCc5ccccc54)CC3)nn2)n1,7.85,1
208,CN(C)c1ccc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,7.85,1
209,O=C(NC[C@H](O)c1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,7.82,1
210,CN(C)c1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,7.82,1
211,Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3ccccc3)nn2)CC1,7.82,1
212,CS(=O)(=O)c1ccc2nc(-c3ccc(-c4cccc(Cl)c4)cc3)[nH]c2c1,7.82,1
213,Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,7.82,1
214,N#CC1(c2cccc(Cl)c2)CCN(c2ccc(-c3nc(CO)no3)nn2)CC1,7.82,1
215,CC(=O)NCCn1c(=O)c(-c2cccnc2)nc2ccc(NCc3ccc(Cl)c(Cl)c3)nc21,7.82,1
216,CNC(=O)Cn1cc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,7.82,1
217,CC(=O)Nc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,7.82,1
218,Cn1cc(-c2ccc(N3CCC(n4ncc5c(Cl)cccc54)CC3)nn2)cn1,7.82,1
219,FC(F)(F)c1ccccc1OC1CCN(c2ncc(-c3ncon3)s2)CC1,7.8,1
220,O=c1[nH]c(CO)nc2nc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)sc12,7.8,1
221,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2ccccc2O3)nn1,7.8,1
222,Cn1cc(-c2ccc(N3CCC(n4ncc5ccc(Cl)cc54)CC3)nn2)cn1,7.8,1
223,O=C(Nc1ncc(Cc2cccc(C(F)(F)F)c2)s1)c1ccc(OCCO)c(OCCO)c1,7.8,1
224,COc1ccc(-c2nc3ccc(NCc4ccc(F)c(C(F)(F)F)c4)nc3n(CCNC(C)=O)c2=O)cc1,7.8,1
225,Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(C(F)(F)F)cc54)CC3)nn2)cn1,7.8,1
226,COc1ccc(-c2nc3ccc(NCc4ccc(Cl)c(Cl)c4)nc3n(CCC(N)=O)c2=O)cc1,7.8,1
227,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(CCc5cccnc5)o4)nn3)CC1)O2,7.8,1
228,OCc1nnc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)o1,7.8,1
229,Fc1ccc2ccn(C3CCN(c4ccc(-c5ccc(C(F)(F)F)nc5)nn4)CC3)c2c1,7.8,1
